scientificName,stateProvince,decimalLatitude,decimalLongitude,references
Pardosa concinna,Colorado,39.021212,-105.795691,https://ecdysis.org/collections/individual/index.php?occid=3205901
Pardosa concinna,Colorado,40.101604,-105.169158,https://ecdysis.org/collections/individual/index.php?occid=3205902
Pardosa concinna,Colorado,39.223812,-106.000565,https://ecdysis.org/collections/individual/index.php?occid=3206015
Pardosa concinna,Colorado,37.612598,-104.938885,https://ecdysis.org/collections/individual/index.php?occid=3206029
Pardosa concinna,Colorado,39.225,-106.002,https://ecdysis.org/collections/individual/index.php?occid=3206232
Pardosa concinna,Colorado,39.217,-105.982,https://ecdysis.org/collections/individual/index.php?occid=3206235
Pardosa concinna,Colorado,39.223812,-106.000565,https://ecdysis.org/collections/individual/index.php?occid=3206262
Pardosa concinna,Colorado,39.405715,-105.473912,https://ecdysis.org/collections/individual/index.php?occid=3206264
Pardosa concinna,Colorado,39.405715,-105.473912,https://ecdysis.org/collections/individual/index.php?occid=3206275
Pardosa concinna,Colorado,39.053689,-106.039106,https://ecdysis.org/collections/individual/index.php?occid=3206287
Pardosa concinna,Colorado,39.089793,-105.594339,https://ecdysis.org/collections/individual/index.php?occid=3206334
Pardosa concinna,Colorado,39.223812,-106.000565,https://ecdysis.org/collections/individual/index.php?occid=3206335
Pardosa concinna,Colorado,39.223812,-106.000565,https://ecdysis.org/collections/individual/index.php?occid=3206337
Pardosa concinna,Colorado,39.223812,-106.000565,https://ecdysis.org/collections/individual/index.php?occid=3206338
Pardosa concinna,Colorado,39.286558,-106.064708,https://ecdysis.org/collections/individual/index.php?occid=3206339
Pardosa concinna,Colorado,39.961891,-105.510376,https://ecdysis.org/collections/individual/index.php?occid=3206341
Pardosa concinna,Colorado,37.612598,-104.938885,https://ecdysis.org/collections/individual/index.php?occid=3206495
Pardosa concinna,Colorado,39.195269,-106.137242,https://ecdysis.org/collections/individual/index.php?occid=3206508
Pardosa concinna,Colorado,39.195269,-106.137242,https://ecdysis.org/collections/individual/index.php?occid=3206512
Pardosa concinna,Colorado,39.089793,-105.594339,https://ecdysis.org/collections/individual/index.php?occid=3206520
Pardosa concinna,Colorado,38.733631,-104.9592,https://ecdysis.org/collections/individual/index.php?occid=3216133
Pardosa concinna,Colorado,39.1325,-106.181667,https://ecdysis.org/collections/individual/index.php?occid=3216150
Pardosa concinna,Colorado,39.134167,-106.180278,https://ecdysis.org/collections/individual/index.php?occid=3216155
Pardosa concinna,Colorado,38.066667,-107.416667,https://ecdysis.org/collections/individual/index.php?occid=3216242
Pardosa concinna,Colorado,38.9525,-105.200833,https://ecdysis.org/collections/individual/index.php?occid=3216243
Pardosa concinna,Colorado,38.954167,-105.201389,https://ecdysis.org/collections/individual/index.php?occid=3216257
Pardosa concinna,Colorado,39.916667,-105.583333,https://ecdysis.org/collections/individual/index.php?occid=3216298
Pardosa concinna,Colorado,39.8,-105.45,https://ecdysis.org/collections/individual/index.php?occid=3216316
Pardosa concinna,Colorado,39.916667,-105.583333,https://ecdysis.org/collections/individual/index.php?occid=3216336
Pardosa concinna,Colorado,38.954167,-105.201389,https://ecdysis.org/collections/individual/index.php?occid=3216352
Pardosa concinna,Colorado,38.917778,-105.274444,https://ecdysis.org/collections/individual/index.php?occid=3216438
Pardosa concinna,Colorado,38.903056,-105.3225,https://ecdysis.org/collections/individual/index.php?occid=3216439
Pardosa concinna,Colorado,39.196,-106.142,https://ecdysis.org/collections/individual/index.php?occid=3216440
Pardosa concinna,Colorado,38.877167,-105.337333,https://ecdysis.org/collections/individual/index.php?occid=3216441
Pardosa concinna,Colorado,38.855594,-105.304167,https://ecdysis.org/collections/individual/index.php?occid=3216442
Pardosa concinna,Colorado,40.074167,-105.571667,https://ecdysis.org/collections/individual/index.php?occid=3216443
Pardosa concinna,Colorado,40.081389,-105.540278,https://ecdysis.org/collections/individual/index.php?occid=3216444
Pardosa concinna,Colorado,39.937778,-105.685556,https://ecdysis.org/collections/individual/index.php?occid=3217799
Pardosa concinna,Colorado,38.733631,-104.9592,https://ecdysis.org/collections/individual/index.php?occid=3217965
Pardosa concinna,Colorado,39.413889,-105.755278,https://ecdysis.org/collections/individual/index.php?occid=3218024
Pardosa concinna,Colorado,38.658333,-106.606944,https://ecdysis.org/collections/individual/index.php?occid=3218043
Pardosa concinna,Colorado,37.8925,-107.9,https://ecdysis.org/collections/individual/index.php?occid=3218079
Pardosa concinna,Colorado,39.638611,-105.914639,https://ecdysis.org/collections/individual/index.php?occid=3218835
Pardosa concinna,Colorado,39.633056,-105.767556,https://ecdysis.org/collections/individual/index.php?occid=3218836
Pardosa concinna,Colorado,39.659333,-105.784,https://ecdysis.org/collections/individual/index.php?occid=3218837
Pardosa concinna,Colorado,39.450083,-105.862778,https://ecdysis.org/collections/individual/index.php?occid=3218839
Pardosa concinna,Colorado,39.917778,-105.274444,https://ecdysis.org/collections/individual/index.php?occid=3218840
Pardosa concinna,Colorado,39.633333,-105.6,https://ecdysis.org/collections/individual/index.php?occid=3220777
Pardosa concinna,Colorado,39.655,-105.879167,https://ecdysis.org/collections/individual/index.php?occid=3220779
Pardosa concinna,Colorado,39.961,-105.51,https://ecdysis.org/collections/individual/index.php?occid=3220780
Pardosa concinna,Colorado,39.961,-105.51,https://ecdysis.org/collections/individual/index.php?occid=3223070
Pardosa concinna,Colorado,39.961,-105.51,https://ecdysis.org/collections/individual/index.php?occid=3223098
Pardosa concinna,Colorado,39.961,-105.51,https://ecdysis.org/collections/individual/index.php?occid=3223122
Pardosa concinna,Colorado,39.580544,-105.592224,https://ecdysis.org/collections/individual/index.php?occid=4221886
Pardosa concinna,Colorado,38.254447,-104.609141,https://ecdysis.org/collections/individual/index.php?occid=4238796
Pardosa distincta,Colorado,40.431111,-105.503056,https://ecdysis.org/collections/individual/index.php?occid=3182994
Pardosa distincta,Colorado,40.431111,-105.503056,https://ecdysis.org/collections/individual/index.php?occid=3182997
Pardosa distincta,Colorado,40.431111,-105.503056,https://ecdysis.org/collections/individual/index.php?occid=3183001
Pardosa distincta,Colorado,40.431111,-105.503056,https://ecdysis.org/collections/individual/index.php?occid=3183006
Pardosa distincta,Colorado,40.431111,-105.503056,https://ecdysis.org/collections/individual/index.php?occid=3183009
Pardosa distincta,Colorado,40.431111,-105.503056,https://ecdysis.org/collections/individual/index.php?occid=3183010
Pardosa distincta,Colorado,40.431111,-105.503056,https://ecdysis.org/collections/individual/index.php?occid=3183261
Pardosa distincta,Colorado,40.431111,-105.503056,https://ecdysis.org/collections/individual/index.php?occid=3183268
Pardosa distincta,Colorado,40.68358581,-105.3974792,https://ecdysis.org/collections/individual/index.php?occid=3184001
Pardosa distincta,Colorado,39.807333,-105.439222,https://ecdysis.org/collections/individual/index.php?occid=3184003
Pardosa distincta,Colorado,39.764444,-105.446583,https://ecdysis.org/collections/individual/index.php?occid=3184020
Pardosa distincta,Colorado,39.795417,-105.449222,https://ecdysis.org/collections/individual/index.php?occid=3184104
Pardosa distincta,Colorado,39.791361,-105.449639,https://ecdysis.org/collections/individual/index.php?occid=3184105
Pardosa distincta,Colorado,39.832361,-105.407583,https://ecdysis.org/collections/individual/index.php?occid=3184119
Pardosa distincta,Colorado,39.903306,-105.641722,https://ecdysis.org/collections/individual/index.php?occid=3184120
Pardosa distincta,Colorado,39.807333,-105.439222,https://ecdysis.org/collections/individual/index.php?occid=3184124
Pardosa distincta,Colorado,39.678889,-105.491111,https://ecdysis.org/collections/individual/index.php?occid=3184193
Pardosa distincta,Colorado,39.523565,-105.25113,https://ecdysis.org/collections/individual/index.php?occid=3184237
Pardosa distincta,Colorado,39.523565,-105.25113,https://ecdysis.org/collections/individual/index.php?occid=3184239
Pardosa distincta,Colorado,39.678889,-105.491111,https://ecdysis.org/collections/individual/index.php?occid=3184259
Pardosa distincta,Colorado,39.949069,-105.544364,https://ecdysis.org/collections/individual/index.php?occid=3188282
Pardosa distincta,Colorado,39.447111,-105.738389,https://ecdysis.org/collections/individual/index.php?occid=3188287
Pardosa distincta,Colorado,39.505222,-105.390194,https://ecdysis.org/collections/individual/index.php?occid=3188302
Pardosa distincta,Colorado,39.504972,-105.3895,https://ecdysis.org/collections/individual/index.php?occid=3188344
